date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:01:20	30333/30333	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jun%202017%2005:31:20%20GMT	https://wptimecapsule.com/	/home/greefi/websites/sigi/wptimecapsule.com/index.html	(from )
11:01:21	208/208	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2027%20Jun%202017%2005:31:21%20GMT	https://wptimecapsule.com/robots.txt		(from )
11:01:22	123319/123319	---MCZ	200	added ('OK')	text/css	etag:W/%2258c80bea-1e1b7%22	https://wptimecapsule.com/css/bootstrap.css	/home/greefi/websites/sigi/wptimecapsule.com/css/bootstrap.css	(from https://wptimecapsule.com/)
11:01:22	397/397	---M--	200	added ('OK')	text/css	etag:%2258c80bea-18d%22	https://wptimecapsule.com/css/fonts.css	/home/greefi/websites/sigi/wptimecapsule.com/css/fonts.css	(from https://wptimecapsule.com/)
11:01:22	18562/18562	---MCZ	200	added ('OK')	text/css	etag:W/%2258fdde06-4882%22	https://wptimecapsule.com/style.css	/home/greefi/websites/sigi/wptimecapsule.com/style.css	(from https://wptimecapsule.com/)
11:01:23	3383/3383	---MCZ	200	added ('OK')	text/css	etag:W/%2258c80bea-d37%22	https://wptimecapsule.com/css/lity.min.css	/home/greefi/websites/sigi/wptimecapsule.com/css/lity.min.css	(from https://wptimecapsule.com/)
11:01:23	19312/19312	---MCZ	200	added ('OK')	text/css	etag:W/%2258fdc77b-4b70%22	https://wptimecapsule.com/css/responsive.css	/home/greefi/websites/sigi/wptimecapsule.com/css/responsive.css	(from https://wptimecapsule.com/)
11:01:41	1426/1426	---M--	200	added ('OK')	image/png	etag:%2258c81368-592%22	https://wptimecapsule.com/img/favicon/favicon.png?v=2	/home/greefi/websites/sigi/wptimecapsule.com/img/favicon/favicon5e1f.png	(from https://wptimecapsule.com/)
11:01:43	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Jun%202017%2005:31:42%20GMT	https://wptimecapsule.com/pricing.php	/home/greefi/websites/sigi/wptimecapsule.com/pricing.8.delayed	(from https://wptimecapsule.com/)
11:01:43	241/241	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Jun%202017%2005:31:43%20GMT	https://wptimecapsule.com/pricing	/home/greefi/websites/sigi/wptimecapsule.com/pricing	(from https://wptimecapsule.com/)
11:01:44	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Jun%202017%2005:31:44%20GMT	http://wptimecapsule.com/pricing/	/home/greefi/websites/sigi/wptimecapsule.com/pricing/index.html	(from https://wptimecapsule.com/)
11:01:47	30333/30333	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jun%202017%2005:31:44%20GMT	https://wptimecapsule.com/index.php	/home/greefi/websites/sigi/wptimecapsule.com/index-2.html	(from https://wptimecapsule.com/)
11:01:47	1476/1476	---M--	200	added ('OK')	image/png	etag:%2258c80bea-5c4%22	https://wptimecapsule.com/img/logo.png	/home/greefi/websites/sigi/wptimecapsule.com/img/logo.png	(from https://wptimecapsule.com/)
11:01:47	19303/19303	---MCZ	200	added ('OK')	text/html	etag:W/%224b67-54de5f2b72b14-gzip%22	https://wptimecapsule.com/features.html	/home/greefi/websites/sigi/wptimecapsule.com/features.html	(from https://wptimecapsule.com/)
11:01:48	18067/18067	---MCZ	200	added ('OK')	text/html	etag:W/%224693-54d9a15f7ea17-gzip%22	https://wptimecapsule.com/agency/index.html	/home/greefi/websites/sigi/wptimecapsule.com/agency/index.html	(from https://wptimecapsule.com/)
11:01:49	241/241	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Jun%202017%2005:31:48%20GMT	https://wptimecapsule.com/pricing	/home/greefi/websites/sigi/wptimecapsule.com/pricing	(from https://wptimecapsule.com/)
11:01:49	221915/221915	---M--	200	added ('OK')	image/jpeg	etag:%2258c7d0bb-362db%22	https://wptimecapsule.com/images/twitterog.jpg	/home/greefi/websites/sigi/wptimecapsule.com/images/twitterog.jpg	(from https://wptimecapsule.com/)
11:01:51	10715/10715	---MCZ	200	added ('OK')	text/html	etag:W/%2229db-54d9a0320eb91-gzip%22	https://wptimecapsule.com/team.html	/home/greefi/websites/sigi/wptimecapsule.com/team.html	(from https://wptimecapsule.com/)
11:01:52	11629/11629	---M--	200	added ('OK')	image/png	etag:%2258c80bea-2d6d%22	https://wptimecapsule.com/img/thumbnails/user-2.png	/home/greefi/websites/sigi/wptimecapsule.com/img/thumbnails/user-2.png	(from https://wptimecapsule.com/)
11:01:54	2314/2314	---M--	200	added ('OK')	image/png	etag:%2258c80bea-90a%22	https://wptimecapsule.com/img/thumbnails/logo-5.png	/home/greefi/websites/sigi/wptimecapsule.com/img/thumbnails/logo-5.png	(from https://wptimecapsule.com/)
